,3x14,3x15,3x16,4x6,4x7,4x8,4x9,4x10,4x11,4x12,4x13,4x14,4x15,4x16,4x17,4x18,4x19,4x20,4x21,4x22,4x23,5x4,5x5,5x6,5x7,5x8,5x9,5x10,5x11,5x12,5x13,5x14,5x15,5x16,5x17,5x18,5x19,5x20,5x21,5x22,5x23,5x24,5x25,6x4,6x5,6x6,6x7,6x8,6x9,6x10,6x11,6x12,6x13,6x14,6x15,6x16,6x17,6x18,6x19,6x20,6x21,6x22,6x23,6x24,6x25,7x4,7x5,7x6,7x7,7x8,7x9,7x10,7x11,7x12,uniform_random,log_norm_random,norm_random,model_actuals,Dummy_MostFreq,SGD_Classifier,SVM_Linear,GBM
48845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,255,228,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,253,253,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7801488917834919,7.846012348823226,1.6906129201118996,1,0,1,1,1
3713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,144,172,253,147,72,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,253,252,252,252,252,226,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011579070956634352,0.4158549703321429,0.6335472058334666,0,0,0,0,0
56921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,68,136,202,254,254,254,255,146,11,0,0,0,0,0,0,0,0,0,0,0,60,189,253,253,253,253,253,253,253,253,197,15,0,0,0,0,0,0,0,0,0,0,189,253,253,202,200,0.8067965380239066,1.0122641450547984,1.5846074331280575,1,0,1,1,1
22868,0,0,0,0,0,0,0,0,0,0,13,191,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,252,241,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,252,253,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8897504916804225,0.8596498851830587,0.7362266561805126,0,0,0,0,0
39454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,255,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,203,253,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43180382671378603,1.5333830135199993,1.1527450488911828,1,0,1,1,1
7524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,253,255,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,251,0.19371077383655644,0.5339324147094275,-0.353125560648831,0,0,0,0,0
22892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,253,253,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7453886586269299,3.171276310947332,0.3743929285805926,0,0,0,0,0
41165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,46,0,0,0,0,0,0,128,140,243,151,173,133,99,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,254,253,253,253,253,253,217,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7472049015241996,0.7793208585137196,-1.2099949498713838,1,0,0,0,0
37972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,227,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7731674583764175,0.6158300741763998,-0.3406360551807292,1,0,0,1,1
49265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,253,227,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,251,251,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47146285091382434,1.5798568130086932,0.12627689041366996,0,0,0,0,0
28660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,255,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0.1064433494107675,0.7391676005254039,-0.43014074454507006,1,0,1,1,1
51091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,13,117,132,132,255,253,253,253,224,99,9,0,0,0,0,0,0,0,33,145,222,252,252,252,252,252,253,252,252,252,252,252,167,0,0,0,0,0,0,0,157,252,252,252,252,0.39555592705202425,7.055770994899578,-0.4149068971566757,0,0,0,0,0
55155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312161842754925,0.7712464101720216,-1.0197317002378898,0,0,0,0,0
16643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,229,242,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,252,253,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9848135481555774,1.4369047774826387,-0.26262820522656616,1,0,1,1,1
29428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,251,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,254,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3684753714716792,1.6936091250281373,0.2614577369176135,0,0,0,0,0
50222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8178986665069188,1.750681263823894,0.18504655406286136,1,0,0,0,1
17911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,207,254,206,254,230,144,42,0,0,0,0,0,0,0,0,0,0,0,0,0,55,244,254,253,253,253,253,253,250,69,0,0,0,0,0,0,0,0,0,0,0,0,14,0.7186961637426496,1.039683185468677,0.812386330170828,0,0,0,0,0
675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,126,250,254,254,101,13,0,0,0,0,0,0,0,0,0,0,0,0,0,30,82,230,253,253,253,253,253,99,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0.4263541203256629,1.3604182889553533,0.3064677538496178,1,0,1,1,1
33332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,255,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,253,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2655098265760921,0.6098505101865181,0.8622860699800428,1,0,1,1,1
11058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,194,209,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864708071889782,1.4474169381523243,-1.60591051571639,0,0,1,0,0
53194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,134,219,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8895998129681811,2.965146510172872,-1.2734311582590616,0,0,0,0,0
49183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,253,253,242,141,104,29,26,0,0,0,0,0,0,0,0,0,0,0,0,0,19,225,252,252,253,252,252,252,0.30828982290796125,2.2784838170810815,0.3100375892361323,1,0,1,1,1
9529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,105,245,253,253,193,105,99,0,0,0,0,0,0,0,0,0,0,0,0,29,191,213,252,252,252,0.5285515258857023,2.431089174168433,-0.03606496224544547,1,0,1,1,1
48264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,121,121,128,183,122,121,13,0,0,0,0,0,0,0,0,0,0,0,40,108,213,244,253,253,253,253,254,253,242,198,23,0,0,0,0,0,0,0,0,40,224,253,228,159,159,145,0.6608359938502231,2.263784417628023,0.9345811861757035,1,0,1,1,1
27619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,253,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,252,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026628210889499404,0.1250241178338948,-0.940691783743309,1,0,1,1,1
47760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,34,38,143,143,239,255,176,143,6,0,0,0,0,0,0,0,0,0,0,55,172,193,252,252,252,252,252,187,232,252,179,176,67,0,0,0,0,0,0,0,0,209,252,252,252,252,172,0.6601887583701046,0.8416429250049536,-0.03360857549062959,0,0,0,0,0
42584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,253,253,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,251,251,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,198,0.28493601987724204,10.076031558846624,-1.2847758117214612,0,0,1,0,0
53305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,70,128,161,203,254,254,254,254,186,162,99,0,0,0,0,0,0,0,0,0,76,224,253,254,253,253,253,254,0.03201315645605429,0.5598573822601017,0.40861879919747846,1,0,1,1,1
35565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,254,70,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,253,253,48,0,0,0,0,0,0,0,0,0,0,0,0,0.22868876216902867,0.9746683661872152,0.8011814193829173,1,0,1,1,1
28418,0,0,0,0,0,0,0,0,11,92,193,152,92,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,252,253,252,253,232,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,61,21,102,132,253,234,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4913011385052666,2.5580511806855912,0.7825014023356418,1,0,1,1,1
56660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6565390078561045,0.3430123799903099,1.6953595368302103,1,0,1,1,1
55732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,55,138,243,255,253,253,253,253,139,118,17,0,0,0,0,0,0,0,0,0,36,178,252,252,252,249,206,240,252,0.7394257547711857,0.47987642547868153,1.5772976910097594,0,0,0,0,0
51836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6640428326234293,0.32214968005576916,0.5987921403604928,0,0,0,0,0
13788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,213,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8393538626956559,0.9397485279074618,1.5525830176155244,0,0,0,0,0
23157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,121,121,190,255,253,253,253,253,154,38,0,0,0,0,0,0,0,0,0,0,0,97,252,252,0.8266976203763235,4.008913344971339,0.7257530432780227,0,0,0,0,0
21552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,243,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059901979049714615,0.3003758787156301,-0.2541107650083369,0,0,0,0,0
45253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,240,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,253,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8438743205735709,4.138692544485678,-0.6808525827549762,1,0,1,1,1
43595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,253,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,252,184,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9556005885395422,1.1377572846521637,1.9174198080917824,0,0,0,0,0
38239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,147,147,147,147,147,147,147,249,209,167,147,193,147,147,117,6,0,0,0,0,4,226,254,254,254,254,254,0.7226382942843118,1.747769243861967,0.30429323494348065,0,0,0,0,0
5675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,192,219,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1923999005306002,3.740426698254383,-0.5930577130554308,0,0,0,0,0
35190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,204,254,254,254,255,160,40,0,0,0,0,0,0,0,0,0,0,0,0,0,153,243,152,68,13,13,97,213,237,88,0,0,0,0,0,0,0,0,0,0,0,23,227,82,0,0,0,0,0.7015849799800713,0.7701647674301363,-0.8915010582459021,1,0,1,1,1
53375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,217,174,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,253,253,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4897331585513208,1.5843580597414315,0.11071499860635799,0,0,0,0,0
35806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,82,72,144,192,144,144,82,34,6,0,0,0,0,0,0,0,0,0,0,18,158,250,253,253,253,253,0.11182918312841983,1.086033773039581,0.2827928438068499,0,0,0,0,0
17575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,18,102,137,137,245,194,137,137,51,13,0,0,0,0,0,0,0,0,0,16,149,211,254,0.6302513370746871,0.4230546378002836,0.6773167365210225,1,0,1,1,1
13129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,23,170,252,233,19,0,0,0,0,0,0,0,0,0,0,0.14765788313754802,0.5155103969394987,0.9100623134096192,0,0,0,0,0
26433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,66,191,255,253,253,253,255,178,141,141,26,0,0,0,0,0,0,0,0,0,19,137,252,227,253,252,233,221,253,252,252,252,244,144,13,0,0,0,0,0,0,0,7,81,168,43,56,0.6749605608986138,0.6327158737741753,-0.7876436733869387,1,0,1,1,1
45579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,254,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,242,222,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43392332601254757,1.5161348544191255,-1.1677396369776851,0,0,0,0,0
22106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,253,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,242,0.052450834860085394,4.705369236703322,0.5083065575629755,0,0,0,0,0
48917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,254,254,255,167,125,125,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,130,253,253,253,253,253,250,248,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828188277403383,0.6823466154994898,0.493549638193917,0,0,1,0,0
15936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,113,152,214,253,254,172,41,0,0,0,0,0,0,0,0,0,0,0,0,0,163,223,253,0.841799031896449,2.5082342428779683,-0.32135105803691616,0,0,0,0,0
7720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,157,200,78,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,252,252,252,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,252,252,0.19179646222355762,0.3853314011298782,1.3744211547173237,0,0,0,0,0
41863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,164,255,255,255,209,130,18,1,0,0,0,0,0,0,0,0,0,0,0,0,28,219,253,253,253,253,253,253,253,29,1,0,0,0,0,0,0,0,0,0,0,0,28,0.715901141961891,1.1866979761469068,-1.1942848174817962,0,0,0,0,0
1077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,55,0,22,90,172,0,0,0,0,0,0,0,0,0,0,0.2536933609063228,0.5975376346226019,0.9290977870274412,0,0,0,0,0
23563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,89,130,130,161,255,255,154,130,24,4,0,0,0,0,0,0,0,0,0,20,136,211,253,253,0.6998354792098501,0.24063330597891464,-1.0978529724569563,0,0,0,0,0
51373,0,0,0,0,0,0,0,0,26,219,254,254,254,254,254,254,97,1,0,0,0,0,0,0,0,0,0,0,48,250,253,253,253,253,253,253,253,147,10,0,0,0,0,0,0,0,0,0,0,0,0,79,111,111,111,111,111,217,251,253,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8103743265834757,0.7163866720866506,1.6458867655751157,0,0,0,0,0
1699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,255,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26668532839977466,7.13022959482233,0.7540045272944915,0,0,0,0,0
8795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,114,226,255,255,57,0,0,0,0,0,0,0,0,0,0,0,0,29,0.36228145313408744,0.705871116704344,1.2173281624791281,1,0,1,1,1
25230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,201,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,253,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5566254240799441,17.14436991383581,-1.4260887341078516,0,0,0,0,0
